Ksi¹¿ka ta by³a niesamowita - zaskakuj¹ca fabu³a i g³êbokie przemyœlenia.,1
"Bardzo mnie zawiód³ ten tytu³, oczekiwa³em znacznie wiêcej.",0
"Autorka œwietnie odda³a atmosferê, czu³em siê, jakbym by³ w œrodku akcji.",1
Przeczyta³em tê ksi¹¿kê z zapartym tchem - trzymaj¹ca w napiêciu od pierwszej do ostatniej strony.,1
"Niestety, fabu³a by³a przewidywalna, a postacie p³askie i ma³o interesuj¹ce.",0
Wspania³a lektura na d³ugie zimowe wieczory - polecam ka¿demu mi³oœnikowi dobrego thrillera.,1
"Ksi¹¿ka mia³a momenty, które wydawa³y siê mocno naci¹gane.",0
Fascynuj¹cy œwiat przedstawiony w tej ksi¹¿ce - autor zrobi³ œwietn¹ pracê nad kreacj¹ swojego uniwersum.,1
"Czyta³em to z zapartym tchem, ale zakoñczenie mnie rozczarowa³o.",0
Jêzyk u¿ywany przez autora by³ niezwykle piêkny - ka¿de zdanie by³o jak ma³a poezja.,1
"Mocno siê zawiod³em, myœla³em, ¿e to bêdzie coœ zupe³nie innego.",0
"Niestety, nie mog³em siê do koñca przekonaæ do g³ównego bohatera - brakowa³o mu g³êbi.",0
Ksi¹¿ka by³a œwietnym przerywnikiem od codziennego ¿ycia - œwietna rozrywka.,1
"Fabu³a skomplikowana, ale zbyt skomplikowana - trudno by³o nad¹¿yæ za wszystkimi w¹tkami.",0
"Wci¹gnê³a mnie od pierwszych stron, nie mog³em siê oderwaæ.",1
"Niezwykle m¹dra i przejmuj¹ca opowieœæ, która sk³oni³a mnie do refleksji nad ¿yciem.",1
"S³abo rozwiniête postacie sprawi³y, ¿e trudno by³o mi siê z nimi uto¿samiæ.",0
Autorka potrafi³a zaskoczyæ czytelnika niespodziewanymi zwrotami akcji.,1
"Zdecydowanie nie moje klimaty, nie potrafi³em siê wczuæ w historiê.",0
"Cieszê siê, ¿e przeczyta³em tê ksi¹¿kê, chocia¿ niekoniecznie poleci³bym j¹ ka¿demu.",1
"Kapitalna opowieœæ, w której ka¿de s³owo ma znaczenie.",1
"Mia³em wra¿enie, ¿e niektóre w¹tki zosta³y niedopowiedziane.",0
Doskona³a dla mi³oœników tajemniczych historii - zagadkowa do samego koñca.,1
"Ksi¹¿ka zbyt d³uga, mog³aby byæ skrócona o po³owê.",0
"Autorka stworzy³a bohaterów, z którymi ³atwo siê uto¿samiæ.",1
"Bardzo oryginalna fabu³a, nie czyta³em jeszcze czegoœ podobnego.",1
"Szczerze powiedziawszy, po przeczytaniu mia³em mieszane uczucia.",0
"Ciekawy eksperyment jêzykowy, ale nie ka¿demu mo¿e przypaœæ do gustu.",0
"Ksi¹¿ka zbyt powolna, brakowa³o mi akcji.",1
"Wci¹gnê³a mnie od pierwszych stron, nie mog³em siê oderwaæ.",1
"Postacie by³y tak realistyczne, ¿e czu³em, jakbym z nimi rozmawia³.",1
Nie spodziewa³em siê takiego zwrotu akcji - mistrzowski twist.,0
Przes³anie zawarte w tej ksi¹¿ce jest bardzo wa¿ne i aktualne.,1
"Niestety, nie znalaz³em w tej historii niczego, co by mnie zaintrygowa³o.",0
Ksi¹¿ka idealna na relaksuj¹cy wieczór - lekka i przyjemna.,1
"Zakoñczenie by³o zbyt przewidywalne, brakowa³o zaskoczenia.",0
Autorka poruszy³a trudne tematy w sposób delikatny i g³êboki.,1
"Zdecydowanie za d³uga, momentami trudno by³o utrzymaæ uwagê.",0
"Œwietnie napisane dialogi sprawi³y, ¿e postacie by³y bardzo autentyczne.",1
"Historia, która d³ugo pozostaje w pamiêci po przeczytaniu.",1
Ksi¹¿ka sprawdzi³a siê jako lektura do szkolnej analizy.,0
"Ciekawa mieszanka gatunków, coœ dla ka¿dego.",1
"Trochê przewidywalna, ale mimo to przyjemna.",1
"Mia³em wra¿enie, ¿e niektóre w¹tki zosta³y niedopowiedziane.",0
"Autorka stworzy³a œwiat, w którym ³atwo siê zagubiæ.",1
"Niezwykle emocjonuj¹ca lektura, polecam wszystkim mi³oœnikom thrillerów.",1
"Za du¿o w¹tków pobocznych, trudno by³o siê skupiæ na g³ównej historii.",0
